time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
1.063119085740166e-02	-3.854772e-01	-3.561793e+00	-6.409818e-04	-4.755843e-07
1.065119085740166e-02	-1.328851e+00	-4.647665e+00	-8.216624e-04	-4.727370e-07
1.069119085740166e-02	-3.192388e+00	-6.783467e+00	-1.176466e-03	-4.652088e-07
1.075119085740166e-02	-5.930447e+00	-9.897789e+00	-1.693918e-03	-4.551382e-07
1.083119085740165e-02	-9.490421e+00	-1.390637e+01	-2.360151e-03	-4.439265e-07
1.091369085740165e-02	-1.307356e+01	-1.789794e+01	-3.023470e-03	-4.352805e-07
1.091994085740165e-02	-1.334168e+01	-1.819491e+01	-3.073572e-03	-4.413788e-07
1.092744085740165e-02	-1.366257e+01	-1.855001e+01	-3.134999e-03	-4.645513e-07
1.095289158212103e-02	-1.474685e+01	-1.974746e+01	-3.344098e-03	-5.598997e-07
1.103289158212103e-02	-1.811773e+01	-2.344883e+01	-3.992478e-03	-8.802374e-07
1.109289158212102e-02	-2.061184e+01	-2.616694e+01	-4.469196e-03	-1.122067e-06
1.115289158212102e-02	-2.308067e+01	-2.884137e+01	-4.938552e-03	-1.362889e-06
1.119289158212102e-02	-2.471393e+01	-3.060234e+01	-5.247722e-03	-1.522721e-06
1.123289158212102e-02	-2.633793e+01	-3.234706e+01	-5.554129e-03	-1.681949e-06
1.125289158212102e-02	-2.714664e+01	-3.321365e+01	-5.706345e-03	-1.761334e-06
1.127289158212102e-02	-2.795325e+01	-3.407653e+01	-5.857937e-03	-1.840567e-06
1.129289158212102e-02	-2.875782e+01	-3.493583e+01	-6.008908e-03	-1.919648e-06
1.133289158212101e-02	-3.036103e+01	-3.664400e+01	-6.309081e-03	-2.077353e-06
1.137539158212101e-02	-3.205656e+01	-3.844510e+01	-6.625532e-03	-2.246372e-06
1.138039158212101e-02	-3.225516e+01	-3.865568e+01	-6.663783e-03	-2.291191e-06
1.138373895114092e-02	-3.238738e+01	-3.879596e+01	-6.694342e-03	-2.384093e-06
1.138663328251346e-02	-3.250000e+01	-3.891570e+01	-6.734076e-03	-2.616716e-06
1.138925929454444e-02	-3.259885e+01	-3.902135e+01	-6.796941e-03	-3.126782e-06
1.139218166470744e-02	-3.270253e+01	-3.913333e+01	-6.920798e-03	-4.262718e-06
1.139521952597505e-02	-3.280017e+01	-3.924077e+01	-7.135685e-03	-6.357639e-06
1.139899630034609e-02	-3.290921e+01	-3.936398e+01	-7.556322e-03	-1.002382e-05
1.139919715308866e-02	-3.291422e+01	-3.936981e+01	-7.583770e-03	-1.029175e-05
1.139922488135713e-02	-3.291316e+01	-3.936892e+01	-7.589512e-03	-1.050223e-05
