v1	V(a)	V(vcc)	I(R1)
2.000000000000000e+02	1.992204e+02	2.000000e+02	1.658789e-04
2.010000000000000e+02	2.002165e+02	2.010000e+02	1.667083e-04
2.020000000000000e+02	2.012126e+02	2.020000e+02	1.675377e-04
2.030000000000000e+02	2.022087e+02	2.030000e+02	1.683671e-04
2.040000000000000e+02	2.032048e+02	2.040000e+02	1.691965e-04
2.050000000000000e+02	2.042009e+02	2.050000e+02	1.700259e-04
2.060000000000000e+02	2.051970e+02	2.060000e+02	1.708553e-04
2.070000000000000e+02	2.061931e+02	2.070000e+02	1.716847e-04
2.080000000000000e+02	2.071892e+02	2.080000e+02	1.725141e-04
2.090000000000000e+02	2.081853e+02	2.090000e+02	1.733435e-04
2.100000000000000e+02	2.091814e+02	2.100000e+02	1.741729e-04
2.110000000000000e+02	2.101775e+02	2.110000e+02	1.750023e-04
2.120000000000000e+02	2.111736e+02	2.120000e+02	1.758317e-04
2.130000000000000e+02	2.121697e+02	2.130000e+02	1.766611e-04
2.140000000000000e+02	2.131658e+02	2.140000e+02	1.774905e-04
2.150000000000000e+02	2.141619e+02	2.150000e+02	1.783199e-04
2.160000000000000e+02	2.151580e+02	2.160000e+02	1.791493e-04
2.170000000000000e+02	2.161541e+02	2.170000e+02	1.799787e-04
2.180000000000000e+02	2.171502e+02	2.180000e+02	1.808080e-04
2.190000000000000e+02	2.181463e+02	2.190000e+02	1.816374e-04
2.200000000000000e+02	2.191424e+02	2.200000e+02	1.824668e-04
2.210000000000000e+02	2.201385e+02	2.210000e+02	1.832962e-04
2.220000000000000e+02	2.211346e+02	2.220000e+02	1.841256e-04
2.230000000000000e+02	2.221307e+02	2.230000e+02	1.849550e-04
2.240000000000000e+02	2.231268e+02	2.240000e+02	1.857844e-04
2.250000000000000e+02	2.241229e+02	2.250000e+02	1.866138e-04
2.260000000000000e+02	2.251190e+02	2.260000e+02	1.874432e-04
2.270000000000000e+02	2.261151e+02	2.270000e+02	1.882726e-04
2.280000000000000e+02	2.271112e+02	2.280000e+02	1.891020e-04
2.290000000000000e+02	2.281073e+02	2.290000e+02	1.899314e-04
2.300000000000000e+02	2.291034e+02	2.300000e+02	1.907608e-04
2.310000000000000e+02	2.300995e+02	2.310000e+02	1.915902e-04
2.320000000000000e+02	2.310956e+02	2.320000e+02	1.924196e-04
2.330000000000000e+02	2.320917e+02	2.330000e+02	1.932490e-04
2.340000000000000e+02	2.330878e+02	2.340000e+02	1.940784e-04
2.350000000000000e+02	2.340839e+02	2.350000e+02	1.949078e-04
2.360000000000000e+02	2.350800e+02	2.360000e+02	1.957372e-04
2.370000000000000e+02	2.360761e+02	2.370000e+02	1.965665e-04
2.380000000000000e+02	2.370722e+02	2.380000e+02	1.973959e-04
2.390000000000000e+02	2.380683e+02	2.390000e+02	1.982253e-04
2.400000000000000e+02	2.390644e+02	2.400000e+02	1.990547e-04
2.410000000000000e+02	2.400605e+02	2.410000e+02	1.998841e-04
2.420000000000000e+02	2.410566e+02	2.420000e+02	2.007135e-04
2.430000000000000e+02	2.420527e+02	2.430000e+02	2.015429e-04
2.440000000000000e+02	2.430488e+02	2.440000e+02	2.023723e-04
2.450000000000000e+02	2.440450e+02	2.450000e+02	2.032017e-04
2.460000000000000e+02	2.450411e+02	2.460000e+02	2.040311e-04
2.470000000000000e+02	2.460372e+02	2.470000e+02	2.048605e-04
2.480000000000000e+02	2.470333e+02	2.480000e+02	2.056899e-04
2.490000000000000e+02	2.480294e+02	2.490000e+02	2.065193e-04
2.500000000000000e+02	2.490255e+02	2.500000e+02	2.073487e-04
2.510000000000000e+02	2.500216e+02	2.510000e+02	2.081781e-04
2.520000000000000e+02	2.510177e+02	2.520000e+02	2.090075e-04
2.530000000000000e+02	2.520138e+02	2.530000e+02	2.098369e-04
2.540000000000000e+02	2.530099e+02	2.540000e+02	2.106663e-04
2.550000000000000e+02	2.540060e+02	2.550000e+02	2.114957e-04
2.560000000000000e+02	2.550021e+02	2.560000e+02	2.123251e-04
2.570000000000000e+02	2.559982e+02	2.570000e+02	2.131544e-04
2.580000000000000e+02	2.569943e+02	2.580000e+02	2.139838e-04
2.590000000000000e+02	2.579904e+02	2.590000e+02	2.148132e-04
2.600000000000000e+02	2.589865e+02	2.600000e+02	2.156426e-04
2.610000000000000e+02	2.599826e+02	2.610000e+02	2.164720e-04
2.620000000000000e+02	2.609787e+02	2.620000e+02	2.173014e-04
2.630000000000000e+02	2.619748e+02	2.630000e+02	2.181308e-04
2.640000000000000e+02	2.629709e+02	2.640000e+02	2.189602e-04
2.650000000000000e+02	2.639670e+02	2.650000e+02	2.197896e-04
2.660000000000000e+02	2.649631e+02	2.660000e+02	2.206190e-04
2.670000000000000e+02	2.659592e+02	2.670000e+02	2.214484e-04
2.680000000000000e+02	2.669553e+02	2.680000e+02	2.222778e-04
2.690000000000000e+02	2.679514e+02	2.690000e+02	2.231072e-04
2.700000000000000e+02	2.689475e+02	2.700000e+02	2.239366e-04
2.710000000000000e+02	2.699436e+02	2.710000e+02	2.247660e-04
2.720000000000000e+02	2.709397e+02	2.720000e+02	2.255954e-04
2.730000000000000e+02	2.719358e+02	2.730000e+02	2.264248e-04
2.740000000000000e+02	2.729319e+02	2.740000e+02	2.272542e-04
2.750000000000000e+02	2.739280e+02	2.750000e+02	2.280836e-04
2.760000000000000e+02	2.749241e+02	2.760000e+02	2.289130e-04
2.770000000000000e+02	2.759202e+02	2.770000e+02	2.297423e-04
2.780000000000000e+02	2.769163e+02	2.780000e+02	2.305717e-04
2.790000000000000e+02	2.779124e+02	2.790000e+02	2.314011e-04
2.800000000000000e+02	2.789085e+02	2.800000e+02	2.322305e-04
