time	V(a1)	V(g)	V(l) Step Information: A=10µ  (Step: 1/3)
1.473469732120086e-03	4.638153e+01	1.041189e+00	2.882179e-01
1.473476822457522e-03	4.594596e+01	1.124883e+00	3.190313e-01
1.473487244764106e-03	4.537979e+01	1.171706e+00	3.585750e-01
1.473494018527743e-03	4.507819e+01	1.194742e+00	3.790310e-01
1.473502504819104e-03	4.480103e+01	1.218028e+00	3.992275e-01
1.473519477401824e-03	4.439131e+01	1.248396e+00	4.261444e-01
1.473523316499847e-03	4.432292e+01	1.253005e+00	4.301784e-01
1.473530994695892e-03	4.422636e+01	1.261162e+00	4.373953e-01
1.473546351087983e-03	4.408953e+01	1.272822e+00	4.477645e-01
1.473577063872164e-03	4.393085e+01	1.285542e+00	4.590834e-01
1.473618176881521e-03	4.382818e+01	1.292677e+00	4.654606e-01
1.473669277581960e-03	4.377834e+01	1.296087e+00	4.684978e-01
1.473743771234826e-03	4.375463e+01	1.297758e+00	4.699999e-01
1.473860684392808e-03	4.374546e+01	1.298517e+00	4.706713e-01
1.475131841884478e-03	4.376862e+01	1.299055e+00	4.711537e-01
1.538251322434338e-03	4.524289e+01	1.309602e+00	4.806321e-01
1.598251322434339e-03	4.663188e+01	1.320616e+00	4.905489e-01
1.658251322434339e-03	4.800779e+01	1.332485e+00	5.012328e-01
1.718251322434339e-03	4.936995e+01	1.345047e+00	5.125692e-01
1.778251322434339e-03	5.071777e+01	1.358231e+00	5.244677e-01
