time	V(a)	V(a1)
1.039581320332485e-01	3.465274e-01	2.430618e+01
1.042381320332486e-01	3.474607e-01	2.493716e+01
1.045181320332487e-01	3.483941e-01	2.537532e+01
1.047981320332488e-01	3.493274e-01	2.561727e+01
1.050981320332488e-01	3.503274e-01	2.565668e+01
1.053781320332489e-01	3.512608e-01	2.548800e+01
1.056581320332490e-01	3.521941e-01	2.512224e+01
1.059381320332491e-01	3.531274e-01	2.456223e+01
1.062181320332492e-01	3.540607e-01	2.381230e+01
1.064981320332493e-01	3.549941e-01	2.287825e+01
1.069381320332494e-01	3.564607e-01	2.105629e+01
1.070181320332494e-01	3.567274e-01	2.068071e+01
1.070581320332494e-01	3.568607e-01	2.048801e+01
1.074981320332496e-01	3.583274e-01	1.816169e+01
1.079381320332497e-01	3.597941e-01	1.548890e+01
1.083781320332498e-01	3.612607e-01	1.252062e+01
1.088181320332500e-01	3.627274e-01	9.313491e+00
1.092581320332501e-01	3.641940e-01	5.928682e+00
1.096981320332503e-01	3.656607e-01	2.430772e+00
1.099781320332503e-01	3.665940e-01	1.764240e-01
1.100581320332504e-01	3.668607e-01	-4.686854e-01
1.103981320332505e-01	3.679940e-01	-3.202199e+00
1.107981320332506e-01	3.693274e-01	-6.369043e+00
1.112181320332507e-01	3.707274e-01	-9.585252e+00
1.116381320332508e-01	3.721274e-01	-1.263482e+01
1.120581320332510e-01	3.735273e-01	-1.546474e+01
1.124981320332511e-01	3.749940e-01	-1.814028e+01
1.129381320332512e-01	3.764607e-01	-2.046975e+01
1.130781320332513e-01	3.769273e-01	-2.113097e+01
1.131381320332513e-01	3.771273e-01	-2.140190e+01
1.133181320332514e-01	3.777274e-01	-2.216868e+01
1.136581320332515e-01	3.788607e-01	-2.342186e+01
1.139381320332516e-01	3.797940e-01	-2.425399e+01
1.142181320332516e-01	3.807274e-01	-2.489857e+01
1.144981320332517e-01	3.816607e-01	-2.535064e+01
1.147781320332518e-01	3.825940e-01	-2.560669e+01
1.150581320332519e-01	3.835273e-01	-2.566475e+01
1.153381320332520e-01	3.844607e-01	-2.552436e+01
1.156181320332521e-01	3.853940e-01	-2.518661e+01
1.158981320332522e-01	3.863273e-01	-2.465411e+01
1.161781320332522e-01	3.872607e-01	-2.393098e+01
1.164781320332523e-01	3.882607e-01	-2.295104e+01
1.167381320332524e-01	3.891273e-01	-2.193661e+01
1.167981320332524e-01	3.893273e-01	-2.168147e+01
1.168781320332525e-01	3.895940e-01	-2.132930e+01
1.173181320332526e-01	3.910607e-01	-1.915792e+01
1.177581320332527e-01	3.925273e-01	-1.662106e+01
1.181981320332529e-01	3.939940e-01	-1.376711e+01
1.186381320332530e-01	3.954606e-01	-1.065053e+01
1.190781320332531e-01	3.969273e-01	-7.330768e+00
1.195181320332533e-01	3.983940e-01	-3.871155e+00
1.199381320332534e-01	3.997940e-01	-4.989558e-01
1.200181320332534e-01	4.000607e-01	1.461493e-01
1.203181320332535e-01	4.010606e-01	2.561161e+00
1.207181320332536e-01	4.023940e-01	5.742138e+00
1.211381320332538e-01	4.037940e-01	8.983819e+00
1.215581320332539e-01	4.051940e-01	1.206932e+01
1.219781320332540e-01	4.065939e-01	1.494500e+01
1.224181320332541e-01	4.080606e-01	1.767815e+01
1.228581320332543e-01	4.095273e-01	2.007405e+01
1.232981320332544e-01	4.109940e-01	2.208700e+01
1.233981320332544e-01	4.113273e-01	2.248695e+01
1.235181320332545e-01	4.117273e-01	2.293753e+01
1.239181320332546e-01	4.130606e-01	2.420082e+01
1.241981320332547e-01	4.139940e-01	2.485900e+01
1.244781320332548e-01	4.149273e-01	2.532495e+01
1.247581320332549e-01	4.158606e-01	2.559509e+01
1.250381320332549e-01	4.167939e-01	2.566732e+01
1.253181320332548e-01	4.177273e-01	2.554109e+01
1.255981320332547e-01	4.186606e-01	2.521736e+01
1.258781320332546e-01	4.195939e-01	2.469865e+01
1.261781320332545e-01	4.205939e-01	2.393109e+01
1.264581320332544e-01	4.215273e-01	2.302290e+01
1.265181320332543e-01	4.217273e-01	2.280485e+01
1.269581320332542e-01	4.231939e-01	2.096365e+01
1.273981320332540e-01	4.246606e-01	1.872252e+01
1.278381320332538e-01	4.261273e-01	1.612422e+01
1.282781320332537e-01	4.275939e-01	1.321831e+01
1.287181320332535e-01	4.290606e-01	1.006023e+01
1.291581320332533e-01	4.305272e-01	6.710237e+00
1.295981320332532e-01	4.319939e-01	3.232229e+00
1.299781320332530e-01	4.332606e-01	1.764087e-01
1.300381320332530e-01	4.334606e-01	-3.074349e-01
1.303581320332529e-01	4.345272e-01	-2.881920e+00
1.307581320332527e-01	4.358606e-01	-6.056081e+00
1.311781320332525e-01	4.372606e-01	-9.285279e+00
1.315981320332524e-01	4.386606e-01	-1.235306e+01
1.320181320332522e-01	4.400606e-01	-1.520608e+01
1.324581320332520e-01	4.415272e-01	-1.791064e+01
1.328981320332519e-01	4.429939e-01	-2.027351e+01
1.333381320332517e-01	4.444605e-01	-2.224962e+01
1.337781320332515e-01	4.459272e-01	-2.380128e+01
1.339181320332515e-01	4.463939e-01	-2.420092e+01
1.342981320332513e-01	4.476605e-01	-2.504781e+01
1.345781320332512e-01	4.485939e-01	-2.544417e+01
1.348381320332511e-01	4.494605e-01	-2.563610e+01
1.350981320332510e-01	4.503272e-01	-2.565709e+01
1.353581320332509e-01	4.511939e-01	-2.550700e+01
1.356381320332508e-01	4.521272e-01	-2.515523e+01
1.360581320332507e-01	4.535272e-01	-2.426411e+01
1.361581320332506e-01	4.538605e-01	-2.398903e+01
1.365981320332504e-01	4.553272e-01	-2.250152e+01
1.370381320332503e-01	4.567939e-01	-2.058476e+01
1.374781320332501e-01	4.582605e-01	-1.827530e+01
1.379181320332499e-01	4.597272e-01	-1.561719e+01
1.383581320332498e-01	4.611939e-01	-1.266116e+01
1.387981320332496e-01	4.626605e-01	-9.463581e+00
1.392381320332494e-01	4.641272e-01	-6.085468e+00
1.396781320332492e-01	4.655938e-01	-2.591262e+00
1.399781320332491e-01	4.665938e-01	-1.764017e-01
1.400381320332491e-01	4.667938e-01	3.074422e-01
1.403581320332490e-01	4.678605e-01	2.881927e+00
1.407581320332488e-01	4.691938e-01	6.056087e+00
1.411781320332487e-01	4.705938e-01	9.285287e+00
1.415981320332485e-01	4.719938e-01	1.235306e+01
1.420181320332483e-01	4.733938e-01	1.520609e+01
1.424581320332482e-01	4.748605e-01	1.791064e+01
1.428981320332480e-01	4.763272e-01	2.027352e+01
1.433381320332478e-01	4.777938e-01	2.224963e+01
1.437781320332477e-01	4.792605e-01	2.380128e+01
1.442181320332475e-01	4.807271e-01	2.489887e+01
1.446581320332473e-01	4.821938e-01	2.552146e+01
1.450581320332472e-01	4.835272e-01	2.566509e+01
1.454981320332470e-01	4.849938e-01	2.535570e+01
1.459381320332468e-01	4.864605e-01	2.456260e+01
1.463781320332466e-01	4.879271e-01	2.330090e+01
1.468181320332465e-01	4.893938e-01	2.159470e+01
1.472581320332463e-01	4.908605e-01	1.947652e+01
1.476981320332461e-01	4.923271e-01	1.698680e+01
