time	V(b1)	V(b2)	V(e)	V(rpot)	I(R3)	I(R4)	Ix(U1:B2)	Ix(U1:E)
3.541484674244033e-04	3.374385e+00	1.965609e+01	1.205193e+01	1.416594e+03	3.439117e-03	1.533811e-01	3.439117e-03	1.499417e-01
3.541484927517269e-04	3.662230e+00	1.965593e+01	1.205185e+01	1.416594e+03	3.440677e-03	1.664650e-01	3.440677e-03	1.630160e-01
3.541485059155025e-04	3.757323e+00	1.965588e+01	1.205180e+01	1.416594e+03	3.441169e-03	1.707874e-01	3.441169e-03	1.673329e-01
3.541485193721688e-04	3.817951e+00	1.965585e+01	1.205175e+01	1.416594e+03	3.441478e-03	1.735433e-01	3.441478e-03	1.700915e-01
3.541485378219245e-04	3.872916e+00	1.965582e+01	1.205169e+01	1.416594e+03	3.441763e-03	1.760417e-01	3.441763e-03	1.725951e-01
3.541485716443554e-04	3.924004e+00	1.965580e+01	1.205156e+01	1.416594e+03	3.442048e-03	1.783638e-01	3.442048e-03	1.749208e-01
3.541486152074252e-04	3.937616e+00	1.965578e+01	1.205140e+01	1.416594e+03	3.442172e-03	1.789825e-01	3.442172e-03	1.755399e-01
3.541486587704951e-04	3.948108e+00	1.965577e+01	1.205124e+01	1.416595e+03	3.442282e-03	1.794594e-01	3.442282e-03	1.760170e-01
3.541487023335649e-04	3.955480e+00	1.965576e+01	1.205108e+01	1.416595e+03	3.442378e-03	1.797945e-01	3.442378e-03	1.763523e-01
3.541487458966347e-04	3.959731e+00	1.965575e+01	1.205091e+01	1.416595e+03	3.442460e-03	1.799878e-01	3.442460e-03	1.765456e-01
3.541487894597045e-04	3.960863e+00	1.965575e+01	1.205075e+01	1.416595e+03	3.442527e-03	1.800392e-01	3.442527e-03	1.765970e-01
3.541488330227743e-04	3.958874e+00	1.965574e+01	1.205059e+01	1.416595e+03	3.442580e-03	1.799488e-01	3.442580e-03	1.765064e-01
3.541488765858442e-04	3.953765e+00	1.965574e+01	1.205043e+01	1.416595e+03	3.442618e-03	1.797166e-01	3.442618e-03	1.762740e-01
3.543153629146387e-04	3.738131e+00	1.963323e+01	1.145852e+01	1.417261e+03	3.667650e-03	1.699150e-01	3.667650e-03	1.662473e-01
3.544818492434332e-04	3.535369e+00	1.961208e+01	1.090184e+01	1.417927e+03	3.879231e-03	1.606986e-01	3.879231e-03	1.568188e-01
